order_id,customer_id,order_date,order_status,shipping_city,shipping_state,shipping_region,shipping_cost,delivery_date,payment_id
200084,16049,11/27/2025,Delivered,Bengaluru,Karnataka,South,84.41,11/30/2025,300084
200085,16737,5/1/2025,Delivered,Kolkata,West Bengal,East,260.21,5/4/2025,300085
200086,11645,11/9/2025,Cancelled,Mumbai,Maharashtra,West,191.38,,300086
200087,15586,3/15/2025,Delivered,Gurugram,Haryana,North,170.53,3/19/2025,300087
200088,13571,9/19/2024,Delivered,Lucknow,Uttar Pradesh,North,207.79,9/22/2024,300088
200089,12190,6/30/2024,Shipped,Ludhiana,Punjab,North,255.49,7/2/2024,300089
200090,14167,6/25/2025,Delivered,Kolkata,West Bengal,East,204.27,6/29/2025,300090
200091,16310,9/18/2023,Delivered,Lucknow,Uttar Pradesh,North,268.46,9/25/2023,300091
200092,10795,8/13/2025,Delivered,Kolkata,West Bengal,East,112.5,8/15/2025,300092
200093,10535,12/4/2025,Delivered,Kolkata,West Bengal,East,269.87,12/9/2025,300093
200094,17358,8/4/2025,Delivered,Mumbai,Maharashtra,West,206.04,8/11/2025,300094
200095,17708,10/30/2025,Cancelled,Hyderabad,Telangana,South,124.68,,300095
200096,14238,5/24/2025,Delivered,Kochi,Kerala,South,258.49,5/31/2025,300096
200097,11124,5/15/2025,Delivered,Mumbai,Maharashtra,West,204.44,5/18/2025,300097
200098,10605,10/26/2025,Delivered,Gurugram,Haryana,North,139.94,11/1/2025,300098
200099,11214,6/23/2025,Delivered,Chennai,Tamil Nadu,South,173.23,6/30/2025,300099
200100,12237,12/15/2025,Delivered,Mumbai,Maharashtra,West,70.88,12/22/2025,300100
200101,15535,6/16/2025,Cancelled,Bhubaneswar,Odisha,East,124.44,,300101
200102,10861,4/24/2025,Delivered,Lucknow,Uttar Pradesh,North,46.42,4/28/2025,300102
200103,11058,4/20/2025,Delivered,Mumbai,Maharashtra,West,91.61,4/24/2025,300103
200104,15766,6/22/2025,Delivered,Chennai,Tamil Nadu,South,267.47,6/25/2025,300104
200105,12078,6/20/2024,Delivered,Mumbai,Maharashtra,West,115.66,6/25/2024,300105
200106,11721,11/9/2025,Delivered,Kolkata,West Bengal,East,174.34,11/14/2025,300106
200107,14682,7/8/2025,Delivered,Kolkata,West Bengal,East,184.31,7/13/2025,300107
200108,10606,11/24/2024,Shipped,Patna,Bihar,East,298.29,12/4/2024,300108
200109,15059,6/10/2025,Delivered,Ahmedabad,Gujarat,West,150.29,6/15/2025,300109
200110,10148,7/23/2024,Delivered,New Delhi,Delhi,North,76.77,7/26/2024,300110
200111,11871,9/5/2024,Shipped,Bengaluru,Karnataka,South,189.22,9/9/2024,300111
200112,13607,5/4/2025,Cancelled,Mumbai,Maharashtra,West,195.83,,300112
200113,15087,11/2/2025,Delivered,Patna,Bihar,East,216.43,11/10/2025,300113
200114,11624,12/25/2025,Delivered,Kolkata,West Bengal,East,277.83,12/29/2025,300114
200115,17096,8/20/2025,Delivered,Bengaluru,Karnataka,South,132.74,8/24/2025,300115
200116,17391,6/29/2025,Processing,Bengaluru,Karnataka,South,50.99,,300116
200117,13855,3/23/2025,Delivered,Ahmedabad,Gujarat,West,80.29,3/26/2025,300117
200118,12152,10/5/2025,Delivered,Kolkata,West Bengal,East,267.41,10/10/2025,300118
200119,10862,10/27/2024,Delivered,Lucknow,Uttar Pradesh,North,220.29,11/2/2024,300119
200120,17515,6/19/2025,Delivered,Lucknow,Uttar Pradesh,North,242.46,6/24/2025,300120
200121,11037,12/30/2025,Delivered,Chennai,Tamil Nadu,South,271.5,1/5/2026,300121
200122,12385,12/12/2025,Processing,Kolkata,West Bengal,East,210.35,,300122
200123,12618,12/13/2024,Delivered,Kochi,Kerala,South,154.54,12/20/2024,300123
200124,12121,11/11/2025,Processing,Bengaluru,Karnataka,South,243.86,,300124
200125,10020,10/8/2024,Delivered,Ahmedabad,Gujarat,West,92.53,10/14/2024,300125
200126,11637,6/11/2025,Delivered,Chennai,Tamil Nadu,South,206.29,6/12/2025,300126
200127,16058,10/23/2024,Delivered,New Delhi,Delhi,North,52.67,10/29/2024,300127
200128,11634,9/29/2025,Delivered,Jaipur,Rajasthan,North,213.21,10/5/2025,300128
200129,16203,4/20/2025,Delivered,New Delhi,Delhi,North,166.48,4/23/2025,300129
200130,13307,3/3/2025,Delivered,Kolkata,West Bengal,East,209.13,3/10/2025,300130
200131,10631,12/6/2025,Shipped,Ludhiana,Punjab,North,245.4,12/10/2025,300131
200132,16672,11/4/2024,Delivered,Bengaluru,Karnataka,South,58.86,11/8/2024,300132
200133,15132,9/20/2025,Processing,Mumbai,Maharashtra,West,237.7,,300133
200134,14931,8/19/2025,Delivered,Lucknow,Uttar Pradesh,North,220.76,8/24/2025,300134
200135,11179,12/12/2025,Delivered,Mumbai,Maharashtra,West,236.7,12/16/2025,300135
200136,15015,9/24/2025,Delivered,Mumbai,Maharashtra,West,168.61,10/1/2025,300136
200137,16453,9/22/2023,Processing,Hyderabad,Telangana,South,182.71,,300137
200138,17975,3/21/2025,Delivered,Lucknow,Uttar Pradesh,North,71.49,3/23/2025,300138
200139,15450,12/26/2025,Delivered,Hyderabad,Telangana,South,237.27,12/28/2025,300139
200140,13447,3/7/2023,Delivered,Jaipur,Rajasthan,North,138.65,3/17/2023,300140
200141,16625,12/20/2025,Processing,Kolkata,West Bengal,East,185.82,,300141
200142,10385,7/28/2024,Delivered,Chennai,Tamil Nadu,South,113.34,8/2/2024,300142
200143,13343,12/11/2024,Delivered,Mumbai,Maharashtra,West,72.2,12/15/2024,300143
200144,15937,9/6/2025,Delivered,Mumbai,Maharashtra,West,98.97,9/10/2025,300144
200145,12867,6/8/2025,Delivered,Chennai,Tamil Nadu,South,48.3,6/15/2025,300145
200146,10450,12/5/2023,Delivered,Ahmedabad,Gujarat,West,102.16,12/7/2023,300146
200147,10867,1/22/2025,Delivered,Kochi,Kerala,South,168.85,1/29/2025,300147
200148,11306,12/7/2025,Shipped,Ludhiana,Punjab,North,182.3,12/15/2025,300148
200149,16691,9/5/2025,Delivered,Hyderabad,Telangana,South,82.04,9/10/2025,300149
200150,15837,7/7/2025,Delivered,Kochi,Kerala,South,139.34,7/15/2025,300150
200151,16201,8/20/2025,Delivered,New Delhi,Delhi,North,203.09,8/25/2025,300151
200152,17334,11/25/2025,Delivered,Jaipur,Rajasthan,North,167.17,12/2/2025,300152
200153,12410,5/6/2023,Delivered,Gurugram,Haryana,North,120.17,5/7/2023,300153
200154,16022,4/2/2025,Processing,Kochi,Kerala,South,220.39,,300154
200155,12917,6/18/2025,Delivered,Bengaluru,Karnataka,South,156.88,6/21/2025,300155
200156,16383,11/1/2024,Delivered,Jaipur,Rajasthan,North,159.35,11/5/2024,300156
200157,15644,5/10/2025,Delivered,Chennai,Tamil Nadu,South,203.62,5/14/2025,300157
200158,17930,8/25/2024,Delivered,Jaipur,Rajasthan,North,131.52,9/1/2024,300158
200159,16151,3/4/2025,Delivered,Patna,Bihar,East,206.14,3/11/2025,300159
200160,10045,3/21/2025,Processing,Bhubaneswar,Odisha,East,197.91,,300160
200161,15670,5/17/2024,Delivered,Bhubaneswar,Odisha,East,178.18,5/24/2024,300161
200162,10808,12/15/2025,Delivered,Mumbai,Maharashtra,West,124.85,12/20/2025,300162
200163,14373,11/25/2025,Delivered,New Delhi,Delhi,North,270.12,12/1/2025,300163
200164,11221,9/17/2025,Shipped,Kolkata,West Bengal,East,106.88,9/24/2025,300164
200165,13955,7/30/2024,Delivered,Kolkata,West Bengal,East,124.96,8/5/2024,300165
200166,16429,11/2/2024,Delivered,Hyderabad,Telangana,South,69.74,11/5/2024,300166
200167,12291,12/8/2025,Delivered,Bhopal,Madhya Pradesh,Central,276.89,12/14/2025,300167
200168,11201,11/2/2025,Delivered,New Delhi,Delhi,North,236.83,11/6/2025,300168
200169,12493,11/17/2024,Delivered,Kolkata,West Bengal,East,92.91,11/20/2024,300169
200170,11349,12/9/2025,Delivered,Chennai,Tamil Nadu,South,91.88,12/12/2025,300170
200171,11416,10/28/2023,Delivered,Patna,Bihar,East,156.16,11/2/2023,300171
200172,15655,3/26/2024,Shipped,Bengaluru,Karnataka,South,145.64,4/1/2024,300172
200173,15699,2/19/2025,Processing,Bhubaneswar,Odisha,East,207.28,,300173
200174,14243,10/30/2025,Delivered,Hyderabad,Telangana,South,143.86,11/6/2025,300174
200175,12031,7/12/2023,Delivered,Kolkata,West Bengal,East,121.9,7/19/2023,300175
200176,14243,10/11/2025,Delivered,Hyderabad,Telangana,South,93.46,10/15/2025,300176
200177,17576,8/14/2025,Delivered,Bhopal,Madhya Pradesh,Central,108.39,8/20/2025,300177
200178,13063,9/29/2025,Delivered,Bengaluru,Karnataka,South,114.3,10/1/2025,300178
200179,13380,11/11/2024,Delivered,Gurugram,Haryana,North,173.61,11/14/2024,300179
200180,13951,12/28/2025,Delivered,Hyderabad,Telangana,South,63.07,12/30/2025,300180
200181,11382,2/6/2025,Delivered,Kolkata,West Bengal,East,86.15,2/9/2025,300181
200182,11957,4/10/2025,Delivered,New Delhi,Delhi,North,173.43,4/13/2025,300182
200183,15603,5/21/2025,Delivered,Kochi,Kerala,South,176.22,5/27/2025,300183
200184,11270,10/27/2024,Delivered,Hyderabad,Telangana,South,180.86,10/31/2024,300184
200185,14873,10/13/2023,Delivered,Jaipur,Rajasthan,North,297.25,10/18/2023,300185
200186,13081,11/26/2023,Delivered,Mumbai,Maharashtra,West,248.77,11/28/2023,300186
200187,12440,11/25/2025,Processing,Lucknow,Uttar Pradesh,North,73.73,,300187
200188,14403,9/29/2025,Delivered,Kolkata,West Bengal,East,102.05,10/3/2025,300188
200189,11789,12/30/2023,Delivered,Bhubaneswar,Odisha,East,273.34,1/6/2024,300189
200190,12460,8/15/2025,Delivered,New Delhi,Delhi,North,170.62,8/18/2025,300190
200191,14209,8/5/2025,Delivered,Hyderabad,Telangana,South,63.03,8/7/2025,300191
200192,15330,9/19/2025,Delivered,Chennai,Tamil Nadu,South,256.78,9/26/2025,300192
200193,16731,4/15/2025,Shipped,Patna,Bihar,East,258.53,4/24/2025,300193
200194,16658,9/14/2025,Delivered,Gurugram,Haryana,North,48.78,9/19/2025,300194
200195,13992,5/15/2024,Delivered,Hyderabad,Telangana,South,108.24,5/19/2024,300195
200196,10565,7/27/2025,Delivered,Ahmedabad,Gujarat,West,275.62,8/4/2025,300196
200197,11451,11/3/2025,Delivered,Patna,Bihar,East,219.77,11/11/2025,300197
200198,10005,11/6/2025,Delivered,Kolkata,West Bengal,East,96.53,11/10/2025,300198
200199,11432,1/7/2025,Processing,Ahmedabad,Gujarat,West,86.68,,300199
200200,10253,1/10/2025,Delivered,Hyderabad,Telangana,South,74.74,1/17/2025,300200
200201,15778,10/1/2025,Delivered,New Delhi,Delhi,North,210.26,10/2/2025,300201
200202,14373,1/18/2025,Delivered,New Delhi,Delhi,North,212.57,1/22/2025,300202
200203,10296,11/29/2025,Delivered,Ludhiana,Punjab,North,211.32,12/3/2025,300203
200204,14966,11/9/2025,Delivered,Kolkata,West Bengal,East,257.74,11/12/2025,300204
200205,16581,12/14/2024,Delivered,Bhubaneswar,Odisha,East,302.02,12/18/2024,300205
200206,10235,7/12/2025,Delivered,Gurugram,Haryana,North,59.49,7/16/2025,300206
200207,10985,10/1/2025,Delivered,Mumbai,Maharashtra,West,85.53,10/8/2025,300207
200208,13776,4/23/2025,Delivered,Hyderabad,Telangana,South,77.98,4/26/2025,300208
200209,10348,9/11/2024,Delivered,Bengaluru,Karnataka,South,126.91,9/19/2024,300209
200210,10171,2/1/2025,Processing,Bengaluru,Karnataka,South,130.25,,300210
200211,14681,5/16/2025,Delivered,Gurugram,Haryana,North,244.92,5/18/2025,300211
200212,14501,2/24/2024,Delivered,Kolkata,West Bengal,East,164.82,2/27/2024,300212
200213,16527,5/28/2023,Delivered,Bengaluru,Karnataka,South,210.25,5/31/2023,300213
200214,10598,2/28/2025,Delivered,Ahmedabad,Gujarat,West,75.17,3/3/2025,300214
200215,17256,11/26/2025,Delivered,Kolkata,West Bengal,East,78.83,11/28/2025,300215
200216,10146,7/10/2024,Delivered,Bengaluru,Karnataka,South,63.13,7/16/2024,300216
200217,12400,12/19/2025,Delivered,New Delhi,Delhi,North,84.84,12/25/2025,300217
200218,10366,12/15/2024,Delivered,Chennai,Tamil Nadu,South,103.28,12/19/2024,300218
200219,11952,3/19/2024,Delivered,Kolkata,West Bengal,East,179.82,3/21/2024,300219
200220,16586,7/3/2023,Delivered,Bengaluru,Karnataka,South,200.06,7/6/2023,300220
200221,10969,3/4/2024,Delivered,New Delhi,Delhi,North,220.87,3/9/2024,300221
200222,11604,7/11/2025,Delivered,Patna,Bihar,East,278.95,7/15/2025,300222
200223,14920,2/17/2025,Shipped,Chennai,Tamil Nadu,South,90.11,2/19/2025,300223
200224,10174,10/16/2025,Delivered,Gurugram,Haryana,North,62.49,10/20/2025,300224
200225,14853,11/2/2025,Delivered,Patna,Bihar,East,173.71,11/6/2025,300225
200226,17228,7/16/2025,Shipped,Bengaluru,Karnataka,South,268.01,7/22/2025,300226
200227,10524,7/18/2023,Delivered,Ahmedabad,Gujarat,West,161.54,7/23/2023,300227
200228,10045,5/10/2024,Delivered,Bhubaneswar,Odisha,East,288.71,5/18/2024,300228
200229,13234,6/18/2023,Delivered,Kolkata,West Bengal,East,255.35,6/20/2023,300229
200230,16856,11/20/2025,Delivered,Bengaluru,Karnataka,South,173.82,11/23/2025,300230
200231,17490,8/19/2025,Delivered,Kolkata,West Bengal,East,95.43,8/25/2025,300231
200232,16475,11/12/2024,Delivered,Kolkata,West Bengal,East,222.91,11/18/2024,300232
200233,15258,11/14/2025,Delivered,Hyderabad,Telangana,South,184.59,11/15/2025,300233
200234,13401,2/2/2024,Delivered,Kolkata,West Bengal,East,271.92,2/10/2024,300234
200235,16408,8/12/2024,Delivered,Mumbai,Maharashtra,West,185.31,8/15/2024,300235
200236,16147,6/5/2025,Delivered,Lucknow,Uttar Pradesh,North,259.39,6/12/2025,300236
200237,11416,4/15/2025,Delivered,Patna,Bihar,East,226.61,4/22/2025,300237
200238,15788,10/23/2025,Delivered,Patna,Bihar,East,354.44,10/30/2025,300238
200239,16428,6/16/2025,Delivered,Chennai,Tamil Nadu,South,145.7,6/17/2025,300239
200240,17280,12/16/2025,Delivered,Lucknow,Uttar Pradesh,North,96.91,12/28/2025,300240
200241,15913,9/25/2023,Delivered,New Delhi,Delhi,North,166.87,9/29/2023,300241
200242,15939,2/20/2025,Delivered,Jaipur,Rajasthan,North,105.88,3/2/2025,300242
200243,17287,11/6/2024,Delivered,Patna,Bihar,East,281.39,11/12/2024,300243
200244,11528,4/21/2025,Delivered,Hyderabad,Telangana,South,215.21,4/26/2025,300244
200245,14404,9/19/2025,Delivered,Bengaluru,Karnataka,South,248.33,9/26/2025,300245
200246,17220,11/11/2024,Processing,Mumbai,Maharashtra,West,214.25,,300246
200247,15096,8/7/2025,Delivered,New Delhi,Delhi,North,53.46,8/11/2025,300247
200248,17460,8/21/2023,Processing,Jaipur,Rajasthan,North,337.03,,300248
200249,10385,9/29/2023,Delivered,Chennai,Tamil Nadu,South,170.47,10/4/2023,300249
200250,11699,1/28/2024,Shipped,Gurugram,Haryana,North,188.13,2/3/2024,300250
200251,11762,5/2/2025,Delivered,Mumbai,Maharashtra,West,142.33,5/7/2025,300251
200252,10605,12/25/2025,Delivered,Gurugram,Haryana,North,144.89,12/30/2025,300252
200253,15012,6/23/2025,Delivered,New Delhi,Delhi,North,133.89,6/27/2025,300253
200254,13205,5/1/2025,Delivered,Ludhiana,Punjab,North,231.97,5/5/2025,300254
200255,11928,11/4/2025,Delivered,Lucknow,Uttar Pradesh,North,45.69,11/8/2025,300255
200256,15903,12/4/2025,Delivered,Mumbai,Maharashtra,West,87.66,12/10/2025,300256
200257,15493,6/6/2025,Delivered,Mumbai,Maharashtra,West,220.85,6/13/2025,300257
200258,10320,5/7/2025,Delivered,Gurugram,Haryana,North,141.03,5/8/2025,300258
200259,13519,12/26/2025,Delivered,New Delhi,Delhi,North,144.59,12/30/2025,300259
200260,15830,12/22/2025,Delivered,Patna,Bihar,East,248.91,12/25/2025,300260
200261,10817,9/7/2025,Delivered,Kochi,Kerala,South,133.78,9/14/2025,300261
200262,16441,7/10/2025,Delivered,Hyderabad,Telangana,South,207.1,7/12/2025,300262
200263,14949,4/3/2024,Delivered,Jaipur,Rajasthan,North,269.28,4/6/2024,300263
200264,15810,1/25/2025,Delivered,Lucknow,Uttar Pradesh,North,138.53,1/29/2025,300264
200265,12016,12/18/2025,Delivered,New Delhi,Delhi,North,208.48,12/19/2025,300265
200266,16055,12/1/2025,Delivered,Kolkata,West Bengal,East,151.83,12/7/2025,300266
200267,11349,12/1/2025,Delivered,Chennai,Tamil Nadu,South,143.2,12/6/2025,300267
200268,16939,2/24/2025,Delivered,Kolkata,West Bengal,East,50.62,2/27/2025,300268
200269,11637,10/14/2025,Delivered,Chennai,Tamil Nadu,South,275.78,10/19/2025,300269
200270,12119,10/12/2025,Delivered,Kolkata,West Bengal,East,158.7,10/16/2025,300270
200271,15450,12/1/2025,Delivered,Hyderabad,Telangana,South,250.15,12/6/2025,300271
200272,12661,1/17/2024,Processing,Bhubaneswar,Odisha,East,218.31,,300272
200273,12457,5/19/2025,Delivered,Ahmedabad,Gujarat,West,110.3,5/23/2025,300273
200274,10471,4/28/2025,Delivered,Chennai,Tamil Nadu,South,223.07,5/3/2025,300274
200275,16631,12/7/2025,Delivered,Jaipur,Rajasthan,North,277.97,12/15/2025,300275
200276,13677,1/1/2025,Delivered,Bengaluru,Karnataka,South,256.25,1/11/2025,300276
200277,13140,12/25/2024,Delivered,Chennai,Tamil Nadu,South,224.56,12/28/2024,300277
200278,11964,11/8/2024,Delivered,Mumbai,Maharashtra,West,210.06,11/12/2024,300278
200279,14438,7/22/2025,Delivered,Mumbai,Maharashtra,West,46.17,7/28/2025,300279
200280,14472,4/11/2024,Delivered,Bengaluru,Karnataka,South,84.65,4/15/2024,300280
200281,10023,6/6/2025,Delivered,Bhopal,Madhya Pradesh,Central,180.28,6/11/2025,300281
200282,10671,10/1/2025,Delivered,Mumbai,Maharashtra,West,179.9,10/9/2025,300282
200283,14937,8/6/2024,Delivered,Chennai,Tamil Nadu,South,198.61,8/10/2024,300283
200284,12245,7/18/2025,Delivered,Chennai,Tamil Nadu,South,193.82,7/22/2025,300284
200285,17879,5/20/2025,Delivered,Bhopal,Madhya Pradesh,Central,70.62,5/28/2025,300285
200286,11996,1/14/2025,Delivered,Lucknow,Uttar Pradesh,North,267.39,1/18/2025,300286
200287,11195,10/14/2025,Delivered,Kochi,Kerala,South,184.73,10/22/2025,300287
200288,10363,11/23/2025,Delivered,Kolkata,West Bengal,East,217.51,11/24/2025,300288
200289,15562,10/7/2024,Delivered,Chennai,Tamil Nadu,South,219.45,10/13/2024,300289
200290,12303,3/3/2025,Delivered,Hyderabad,Telangana,South,95.18,3/8/2025,300290
200291,12166,6/28/2023,Delivered,Bengaluru,Karnataka,South,141.74,6/30/2023,300291
200292,10862,3/21/2023,Delivered,Lucknow,Uttar Pradesh,North,57.79,3/25/2023,300292
200293,10398,5/29/2025,Shipped,Bengaluru,Karnataka,South,51.51,6/4/2025,300293
200294,11837,8/25/2024,Delivered,Kolkata,West Bengal,East,80.36,8/28/2024,300294
200295,13167,12/17/2025,Delivered,Kolkata,West Bengal,East,72.41,12/20/2025,300295
200296,15367,10/22/2025,Delivered,Hyderabad,Telangana,South,213.55,10/29/2025,300296
200297,10803,3/18/2025,Delivered,Kochi,Kerala,South,236.93,3/25/2025,300297
200298,12932,7/28/2025,Delivered,Mumbai,Maharashtra,West,136.33,8/3/2025,300298
200299,17946,10/20/2025,Delivered,Bengaluru,Karnataka,South,84.06,10/27/2025,300299
200300,15519,5/25/2024,Delivered,Mumbai,Maharashtra,West,137.55,5/28/2024,300300
200301,17993,9/7/2025,Processing,Kolkata,West Bengal,East,234.03,,300301
